resource_tag,crop_name,harvest_week_num,week_label,b2b_b_target_revenue,hotel_b_target_revenue,b2b_b_harvest_revenue,hotel_b_harvest_revenue,target_kg,kg_harvested,pct_of_target_kg,target_unit_g,harvest_unit_g,pct_of_target_unit_g,current_week
GH1,Arugula,2025-10,Mar-03 w10,64000,76800,2300,2760,128,4.6,-96.41,29,1.24,-95.72,2025-26
GH1,Arugula,2025-11,Mar-10 w11,64000,76800,1650,1980,128,3.3,-97.42,29,1.11,-96.17,2025-26
GH1,Arugula,2025-12,Mar-17 w12,64000,76800,3400,4080,128,6.8,-94.69,29,2.15,-92.59,2025-26
GH1,Arugula,2025-13,Mar-24 w13,64000,76800,23950,28740,128,47.9,-62.58,29,10.30,-64.48,2025-26
GH1,Arugula,2025-14,Mar-31 w14,64000,76800,27300,32760,128,54.6,-57.34,29,10.87,-62.52,2025-26
GH1,Arugula,2025-15,Apr-07 w15,64000,76800,9100,10920,128,18.2,-85.78,29,3.69,-87.28,2025-26
GH1,Arugula,2025-16,Apr-14 w16,64000,76800,2550,3060,128,5.1,-96.02,29,2.28,-92.14,2025-26
GH1,Arugula,2025-17,Apr-21 w17,64000,76800,4500,5400,128,9,-92.97,29,1.90,-93.45,2025-26
GH1,Arugula,2025-18,Apr-28 w18,64000,76800,4850,5820,128,9.7,-92.42,29,2.17,-92.52,2025-26
GH1,Arugula,2025-19,May-05 w19,64000,76800,4900,5880,128,9.8,-92.34,29,2.01,-93.07,2025-26
GH1,Arugula,2025-20,May-12 w20,64000,76800,7500,9000,128,15,-88.28,29,3.10,-89.31,2025-26
GH1,Arugula,2025-21,May-19 w21,64000,76800,10000,12000,128,20,-84.38,29,4.14,-85.72,2025-26
GH1,Arugula,2025-22,May-26 w22,64000,76800,6600,7920,128,13.2,-89.69,29,2.63,-90.93,2025-26
GH3,Baby Romaine,2025-10,Mar-03 w10,8550,8550,11925,11925,19,26.5,39.47,124,138.02,11.31,2025-26
GH3,Baby Romaine,2025-11,Mar-10 w11,8550,8550,13680,13680,19,30.4,60.00,124,158.33,27.69,2025-26
GH3,Baby Romaine,2025-12,Mar-17 w12,8550,8550,15390,15390,19,34.2,80.00,124,164.42,32.60,2025-26
GH3,Baby Romaine,2025-13,Mar-24 w13,8550,8550,10800,10800,19,24,26.32,124,107.14,-13.60,2025-26
GH3,Baby Romaine,2025-14,Mar-31 w14,8550,8550,9765,9765,19,21.7,14.21,124,107.43,-13.36,2025-26
GH3,Baby Romaine,2025-15,Apr-07 w15,8550,8550,12825,12825,19,28.5,50.00,124,135.07,8.93,2025-26
GH3,Baby Romaine,2025-16,Apr-14 w16,8550,8550,7605,7605,19,16.9,-11.05,124,104.97,-15.35,2025-26
GH3,Baby Romaine,2025-17,Apr-21 w17,8550,8550,8595,8595,19,19.1,0.53,124,99.48,-19.77,2025-26
GH3,Baby Romaine,2025-18,Apr-28 w18,8550,8550,3645,3645,19,8.1,-57.37,124,84.38,-31.95,2025-26
GH3,Baby Romaine,2025-19,May-05 w19,8550,8550,7380,7380,19,16.4,-13.68,124,85.42,-31.11,2025-26
GH3,Baby Romaine,2025-20,May-12 w20,8550,8550,4095,4095,19,9.1,-52.11,124,51.70,-58.31,2025-26
GH3,Baby Romaine,2025-21,May-19 w21,8550,8550,5130,5130,19,11.4,-40.00,124,79.17,-36.15,2025-26
GH3,Baby Romaine,2025-22,May-26 w22,8550,8550,9630,9630,19,21.4,12.63,124,119.55,-3.59,2025-26
GH2,Basil,2025-10,Mar-03 w10,78570,78570,49977,49977,97,61.7,-36.39,52,36.86,-29.12,2025-26
GH2,Basil,2025-11,Mar-10 w11,78570,78570,75654,75654,97,93.4,-3.71,52,35.87,-31.02,2025-26
GH2,Basil,2025-12,Mar-17 w12,78570,78570,46656,46656,97,57.6,-40.62,52,39.67,-23.71,2025-26
