program_id,crop_id,crop_name,resource_tag,harvest_week_num,kg_harvested,units_harvested,seeding_date,transplant_date,harvest_date
910,12,Arugula,PNQ-GH1,2025-08,null,null,2025-01-06 00:00:00+00,2025-01-27 00:00:00+00,2025-02-17 00:00:00+00
910,12,Arugula,PNQ-GH1,2025-09,null,null,2025-01-13 00:00:00+00,2025-02-03 00:00:00+00,2025-02-24 00:00:00+00
901,14,Swiss Chard,PNQ-GH1,2025-09,null,null,2025-01-13 00:00:00+00,2025-02-03 00:00:00+00,2025-02-24 00:00:00+00
904,16,Watercress,PNQ-GH1,2025-09,null,null,2025-01-13 00:00:00+00,2025-02-03 00:00:00+00,2025-02-24 00:00:00+00
910,12,Arugula,PNQ-GH1,2025-10,4.6,3720,2025-01-20 00:00:00+00,2025-02-10 00:00:00+00,2025-03-03 00:00:00+00
901,14,Swiss Chard,PNQ-GH1,2025-10,19.3,744,2025-01-20 00:00:00+00,2025-02-10 00:00:00+00,2025-03-03 00:00:00+00
904,16,Watercress,PNQ-GH1,2025-10,3,279,2025-01-20 00:00:00+00,2025-02-10 00:00:00+00,2025-03-03 00:00:00+00
910,12,Arugula,PNQ-GH1,2025-11,3.3,2976,2025-01-27 00:00:00+00,2025-02-17 00:00:00+00,2025-03-10 00:00:00+00
901,14,Swiss Chard,PNQ-GH1,2025-11,3.9,186,2025-01-27 00:00:00+00,2025-02-17 00:00:00+00,2025-03-10 00:00:00+00
904,16,Watercress,PNQ-GH1,2025-11,1.1,93,2025-01-27 00:00:00+00,2025-02-17 00:00:00+00,2025-03-10 00:00:00+00
910,12,Arugula,PNQ-GH1,2025-12,6.8,3162,2025-02-03 00:00:00+00,2025-02-24 00:00:00+00,2025-03-17 00:00:00+00
901,14,Swiss Chard,PNQ-GH1,2025-12,7.6,372,2025-02-03 00:00:00+00,2025-02-24 00:00:00+00,2025-03-17 00:00:00+00
904,16,Watercress,PNQ-GH1,2025-12,1,93,2025-02-03 00:00:00+00,2025-02-24 00:00:00+00,2025-03-17 00:00:00+00
910,12,Arugula,PNQ-GH1,2025-13,47.9,4650,2025-02-10 00:00:00+00,2025-03-03 00:00:00+00,2025-03-24 00:00:00+00
901,14,Swiss Chard,PNQ-GH1,2025-13,4.2,186,2025-02-10 00:00:00+00,2025-03-03 00:00:00+00,2025-03-24 00:00:00+00
904,16,Watercress,PNQ-GH1,2025-13,0,0,2025-02-10 00:00:00+00,2025-03-03 00:00:00+00,2025-03-24 00:00:00+00
910,12,Arugula,PNQ-GH1,2025-14,54.6,5022,2025-02-17 00:00:00+00,2025-03-10 00:00:00+00,2025-03-31 00:00:00+00
901,14,Swiss Chard,PNQ-GH1,2025-14,4.8,217,2025-02-17 00:00:00+00,2025-03-10 00:00:00+00,2025-03-31 00:00:00+00
904,16,Watercress,PNQ-GH1,2025-14,2.3,93,2025-02-17 00:00:00+00,2025-03-10 00:00:00+00,2025-03-31 00:00:00+00
910,12,Arugula,PNQ-GH1,2025-15,18.2,4929,2025-02-24 00:00:00+00,2025-03-17 00:00:00+00,2025-04-07 00:00:00+00
901,14,Swiss Chard,PNQ-GH1,2025-15,2.5,155,2025-02-24 00:00:00+00,2025-03-17 00:00:00+00,2025-04-07 00:00:00+00
904,16,Watercress,PNQ-GH1,2025-15,1,93,2025-02-24 00:00:00+00,2025-03-17 00:00:00+00,2025-04-07 00:00:00+00
910,12,Arugula,PNQ-GH1,2025-16,5.1,2232,2025-03-03 00:00:00+00,2025-03-24 00:00:00+00,2025-04-14 00:00:00+00
